Province,City,Price,Square Feet,Baths,Bedrooms,Property Type,Year Built
BC,Vancouver,1499900.0,1594.0,2.0,3.0,SINGLE_FAMILY_HOUSE,1965.0
BC,Vancouver,824900.0,918.0,1.0,2.0,CONDO,1998.0
BC,Vancouver,1399000.0,1900.0,1.0,5.0,SINGLE_FAMILY_HOUSE,1946.0
BC,Vancouver,1358000.0,1060.0,2.0,2.0,SINGLE_FAMILY_HOUSE,2002.0
BC,Vancouver,736000.0,828.0,2.0,2.0,SINGLE_FAMILY_HOUSE,2010.0
BC,Vancouver,1249000.0,1172.0,3.0,3.0,SINGLE_FAMILY_HOUSE,2005.0
BC,Vancouver,1790000.0,877.0,1.0,1.0,SINGLE_FAMILY_HOUSE,2025.0
BC,Vancouver,1299000.0,1356.0,4.0,3.0,MULTI_FAMILY,2025.0
BC,Vancouver,3598000.0,4030.0,3.0,7.0,SINGLE_FAMILY_HOUSE,1925.0
BC,Vancouver,2468000.0,1666.0,4.0,3.0,MULTI_FAMILY,2025.0
BC,Vancouver,2268000.0,1770.0,4.0,3.0,MULTI_FAMILY,2025.0
BC,Vancouver,1358000.0,1060.0,2.0,2.0,CONDO,2002.0
BC,Vancouver,1190000.0,1103.0,2.0,2.0,CONDO,1993.0
BC,Vancouver,1699000.0,1562.0,2.0,3.0,CONDO,1995.0
BC,Vancouver,1399000.0,1401.0,4.0,3.0,MULTI_FAMILY,2023.0
BC,Vancouver,5500000.0,5180.0,5.0,6.0,SINGLE_FAMILY_HOUSE,1989.0
BC,Vancouver,699000.0,979.0,2.0,2.0,CONDO,1950.0
BC,Vancouver,799900.0,606.0,1.0,1.0,CONDO,2005.0
BC,Vancouver,1249900.0,1021.0,2.0,2.0,CONDO,2017.0
BC,Vancouver,769000.0,883.0,1.0,2.0,CONDO,1995.0
BC,Vancouver,549000.0,781.0,1.0,2.0,CONDO,2007.0
BC,Vancouver,3750000.0,2779.0,4.0,3.0,SINGLE_FAMILY_HOUSE,2011.0
BC,Vancouver,1495000.0,972.0,2.0,2.0,SINGLE_FAMILY_HOUSE,2021.0
BC,Vancouver,1599800.0,2235.0,2.0,3.0,SINGLE_FAMILY_HOUSE,1963.0
BC,Vancouver,729900.0,606.0,1.0,1.0,SINGLE_FAMILY_HOUSE,1998.0
BC,Vancouver,545000.0,594.0,1.0,1.0,SINGLE_FAMILY_HOUSE,2006.0
BC,Vancouver,280000.0,585.0,1.0,1.0,CONDO,1969.0
BC,Vancouver,675000.0,799.0,2.0,2.0,CONDO,1994.0
BC,Vancouver,550000.0,721.0,1.0,1.0,CONDO,1986.0
BC,Vancouver,1098000.0,1096.0,2.0,2.0,CONDO,1991.0
BC,Vancouver,765000.0,646.0,1.0,1.0,SINGLE_FAMILY_HOUSE,2010.0
BC,Vancouver,5500000.0,5180.0,5.0,6.0,SINGLE_FAMILY_HOUSE,1989.0
BC,Vancouver,1598000.0,1051.0,2.0,2.0,CONDO,2016.0
BC,Vancouver,1495000.0,972.0,2.0,2.0,CONDO,2021.0
BC,Vancouver,769900.0,673.0,1.0,1.0,CONDO,2009.0
BC,Vancouver,1638000.0,1647.0,3.0,3.0,TOWNHOUSE,2018.0
BC,Vancouver,1598000.0,1532.0,4.0,3.0,MULTI_FAMILY,2025.0
BC,Vancouver,517000.0,667.0,1.0,1.0,CONDO,1997.0
