Province,City,Price,Bedrooms,Bathrooms,Square Feet,Property Type
Ontario,toronto-on,2649000.0,5.0,4.0,3000.0,House
Ontario,toronto-on,2365000.0,6.0,5.0,5000.0,House
Ontario,toronto-on,799000.0,2.0,2.0,1399.0,Apt/Condo
Ontario,toronto-on,368000.0,1.0,1.0,699.0,Apt/Condo
Ontario,toronto-on,463800.0,1.0,1.0,499.0,Apt/Condo
Ontario,toronto-on,788000.0,3.0,2.0,899.0,Apt/Condo
Ontario,toronto-on,1749000.0,4.0,3.0,1500.0,House
Ontario,toronto-on,979000.0,3.0,3.0,1500.0,House
Ontario,toronto-on,529900.0,2.0,1.0,599.0,Apt/Condo
Ontario,toronto-on,649900.0,2.0,1.0,799.0,Townhouse
Ontario,toronto-on,1428000.0,6.0,4.0,2500.0,House
Ontario,toronto-on,400000.0,2.0,1.0,699.0,Apt/Condo
Ontario,toronto-on,590000.0,1.0,1.0,599.0,Apt/Condo
Ontario,toronto-on,699000.0,1.0,1.0,500.0,Apt/Condo
Ontario,toronto-on,1198000.0,5.0,4.0,2000.0,House
Ontario,toronto-on,5650000.0,5.0,6.0,5000.0,House
Ontario,toronto-on,999900.0,6.0,3.0,2500.0,House
Ontario,toronto-on,1099999.0,5.0,2.0,1100.0,House
Ontario,toronto-on,699000.0,2.0,1.0,699.0,Apt/Condo
Ontario,toronto-on,5498000.0,5.0,4.0,3000.0,House
Ontario,toronto-on,3950000.0,6.0,5.0,3000.0,House
Ontario,toronto-on,1428000.0,4.0,4.0,2000.0,
Ontario,toronto-on,1099999.0,3.0,2.0,700.0,
Ontario,toronto-on,988000.0,2.0,4.0,1200.0,
Ontario,toronto-on,988000.0,2.0,4.0,1399.0,Townhouse
Ontario,toronto-on,999900.0,6.0,3.0,2500.0,House
Ontario,toronto-on,3199000.0,5.0,5.0,3000.0,House
Ontario,toronto-on,3950000.0,6.0,5.0,3500.0,House
Ontario,toronto-on,469900.0,1.0,1.0,599.0,Apt/Condo
Ontario,toronto-on,2365000.0,6.0,5.0,5000.0,House
Ontario,toronto-on,499000.0,2.0,2.0,999.0,Apt/Condo
Ontario,toronto-on,6950000.0,10.0,8.0,,House
Ontario,toronto-on,999900.0,4.0,3.0,1199.0,Townhouse
Ontario,toronto-on,2949900.0,6.0,6.0,5000.0,House
Ontario,toronto-on,599900.0,3.0,2.0,1199.0,Apt/Condo
Ontario,toronto-on,1498888.0,5.0,2.0,2000.0,House
Ontario,toronto-on,649999.0,2.0,2.0,899.0,Apt/Condo
Ontario,toronto-on,1499900.0,6.0,4.0,2000.0,House
Ontario,toronto-on,1269900.0,5.0,2.0,1500.0,House
Ontario,toronto-on,519900.0,2.0,2.0,700.0,Apt/Condo
Ontario,toronto-on,439900.0,1.0,1.0,599.0,Apt/Condo
Ontario,toronto-on,675000.0,2.0,2.0,1000.0,Apt/Condo
Ontario,toronto-on,549000.0,1.0,1.0,699.0,Apt/Condo
Ontario,toronto-on,1038000.0,3.0,2.0,1400.0,Apt/Condo
Ontario,toronto-on,625000.0,2.0,2.0,799.0,Apt/Condo
Ontario,toronto-on,1428000.0,4.0,4.0,2000.0,
Ontario,toronto-on,1099999.0,3.0,2.0,700.0,
Ontario,toronto-on,988000.0,2.0,4.0,1200.0,
Ontario,toronto-on,1725000.0,5.0,5.0,2500.0,House
Ontario,toronto-on,999900.0,6.0,3.0,2500.0,House
Ontario,toronto-on,559000.0,2.0,1.0,600.0,Apt/Condo
Ontario,toronto-on,624900.0,3.0,2.0,1399.0,Apt/Condo
Ontario,toronto-on,615000.0,3.0,2.0,1200.0,Apt/Condo
Ontario,toronto-on,1699900.0,4.0,3.0,3000.0,House
Ontario,toronto-on,824900.0,4.0,1.0,1500.0,House
Ontario,toronto-on,1649000.0,8.0,5.0,2500.0,House
Ontario,toronto-on,449900.0,3.0,1.0,1199.0,Apt/Condo
Ontario,toronto-on,564900.0,2.0,2.0,799.0,Apt/Condo
Ontario,toronto-on,565000.0,2.0,1.0,999.0,Apt/Condo
Ontario,toronto-on,399000.0,1.0,1.0,499.0,Apt/Condo
Ontario,toronto-on,629000.0,2.0,2.0,799.0,Apt/Condo
Ontario,toronto-on,374000.0,0.0,1.0,499.0,Apt/Condo
Ontario,toronto-on,649900.0,3.0,2.0,1399.0,Apt/Condo
Ontario,toronto-on,399900.0,1.0,1.0,599.0,Apt/Condo
Ontario,toronto-on,499000.0,1.0,1.0,599.0,Apt/Condo
Ontario,toronto-on,1498000.0,4.0,2.0,1100.0,House
Ontario,toronto-on,665000.0,2.0,2.0,899.0,Townhouse
Ontario,toronto-on,1838000.0,3.0,3.0,1399.0,Apt/Condo
Ontario,toronto-on,479000.0,1.0,1.0,599.0,Apt/Condo
Ontario,toronto-on,1428000.0,4.0,4.0,2000.0,
Ontario,toronto-on,1099999.0,3.0,2.0,700.0,
Ontario,toronto-on,988000.0,2.0,4.0,1200.0,
Ontario,toronto-on,1799900.0,5.0,5.0,5000.0,House
Ontario,toronto-on,999900.0,6.0,3.0,2500.0,House
Ontario,toronto-on,1499900.0,4.0,1.0,2000.0,House
Ontario,toronto-on,2295000.0,4.0,3.0,1500.0,House
Ontario,toronto-on,379900.0,2.0,1.0,1199.0,Apt/Condo
Ontario,toronto-on,849900.0,3.0,2.0,999.0,Apt/Condo
Ontario,toronto-on,990000.0,3.0,2.0,1399.0,Apt/Condo
Ontario,toronto-on,449000.0,1.0,1.0,499.0,Apt/Condo
Ontario,toronto-on,548800.0,1.0,1.0,499.0,Apt/Condo
Ontario,toronto-on,2995000.0,6.0,4.0,2000.0,House
Ontario,toronto-on,850000.0,4.0,4.0,2000.0,House
Ontario,toronto-on,749900.0,3.0,2.0,1199.0,Apt/Condo
Ontario,toronto-on,1249990.0,3.0,3.0,1399.0,Townhouse
Ontario,toronto-on,999000.0,2.0,2.0,1199.0,Townhouse
Ontario,toronto-on,1249990.0,3.0,3.0,1399.0,Townhouse
Ontario,toronto-on,1249990.0,3.0,2.0,1399.0,Townhouse
Ontario,toronto-on,1245990.0,3.0,3.0,1399.0,Townhouse
Ontario,toronto-on,1245990.0,2.0,3.0,1399.0,Townhouse
Ontario,toronto-on,1249990.0,3.0,3.0,1399.0,Townhouse
Ontario,toronto-on,1249990.0,3.0,3.0,1399.0,Townhouse
Ontario,toronto-on,429999.0,2.0,1.0,699.0,Apt/Condo
Ontario,toronto-on,1428000.0,4.0,4.0,2000.0,
Ontario,toronto-on,1099999.0,3.0,2.0,700.0,
Ontario,toronto-on,988000.0,2.0,4.0,1200.0,
Ontario,toronto-on,360000.0,2.0,1.0,800.0,Apt/Condo
Ontario,toronto-on,2365000.0,6.0,5.0,5000.0,House
Ontario,toronto-on,447500.0,1.0,1.0,599.0,Apt/Condo
Ontario,toronto-on,950000.0,3.0,4.0,2000.0,Townhouse
Ontario,toronto-on,1390000.0,2.0,3.0,1400.0,Apt/Condo
Ontario,toronto-on,3000000.0,5.0,5.0,5000.0,House
Ontario,toronto-on,885000.0,2.0,0.0,820.0,Apt/Condo
Ontario,toronto-on,748000.0,2.0,1.0,799.0,Apt/Condo
Ontario,toronto-on,748000.0,2.0,1.0,799.0,Apt/Condo
Ontario,toronto-on,748000.0,1.0,1.0,720.0,Apt/Condo
Ontario,toronto-on,920000.0,7.0,3.0,700.0,House
Ontario,toronto-on,679000.0,2.0,2.0,600.0,Apt/Condo
Ontario,toronto-on,515000.0,1.0,1.0,500.0,Apt/Condo
Ontario,toronto-on,513800.0,2.0,1.0,500.0,Apt/Condo
Ontario,toronto-on,699999.0,2.0,1.0,900.0,Townhouse
Ontario,toronto-on,1349000.0,3.0,2.0,1100.0,House
Ontario,toronto-on,599000.0,2.0,1.0,600.0,Apt/Condo
Ontario,toronto-on,1199000.0,3.0,2.0,1500.0,House
Ontario,toronto-on,799000.0,5.0,2.0,1500.0,House
Ontario,toronto-on,899000.0,4.0,2.0,1500.0,Duplex
Ontario,toronto-on,3599000.0,5.0,4.0,3000.0,House
Ontario,toronto-on,1428000.0,4.0,4.0,2000.0,
Ontario,toronto-on,1099999.0,3.0,2.0,700.0,
Ontario,toronto-on,988000.0,2.0,4.0,1200.0,
Ontario,toronto-on,1049000.0,4.0,2.0,2000.0,House
Ontario,toronto-on,2949900.0,6.0,6.0,5000.0,House
Ontario,toronto-on,649900.0,3.0,2.0,1799.0,Apt/Condo
Ontario,toronto-on,1499000.0,5.0,3.0,2000.0,Duplex
Ontario,toronto-on,535000.0,2.0,1.0,600.0,Apt/Condo
Ontario,toronto-on,410000.0,1.0,1.0,600.0,Apt/Condo
Ontario,toronto-on,1349900.0,4.0,3.0,2000.0,House
Ontario,toronto-on,610000.0,2.0,2.0,600.0,Apt/Condo
Ontario,toronto-on,999000.0,2.0,3.0,900.0,Apt/Condo
Ontario,toronto-on,399900.0,1.0,1.0,599.0,Apt/Condo
Ontario,toronto-on,1829000.0,3.0,3.0,1500.0,House
Ontario,toronto-on,499500.0,1.0,1.0,599.0,Apt/Condo
Ontario,toronto-on,1749000.0,3.0,3.0,2999.0,Apt/Condo
Ontario,toronto-on,1050000.0,5.0,3.0,1100.0,House
Ontario,toronto-on,899000.0,4.0,2.0,1500.0,House
Ontario,toronto-on,599000.0,2.0,2.0,1000.0,Townhouse
Ontario,toronto-on,599000.0,2.0,2.0,1199.0,Apt/Condo
Ontario,toronto-on,899000.0,4.0,2.0,1500.0,House
Ontario,toronto-on,769000.0,4.0,3.0,1399.0,Townhouse
Ontario,toronto-on,469000.0,2.0,1.0,599.0,Apt/Condo
Ontario,toronto-on,769000.0,3.0,2.0,1399.0,Townhouse
Ontario,toronto-on,1428000.0,4.0,4.0,2000.0,
Ontario,toronto-on,1099999.0,3.0,2.0,700.0,
Ontario,toronto-on,988000.0,2.0,4.0,1200.0,
Ontario,toronto-on,449000.0,3.0,2.0,1199.0,Apt/Condo
Ontario,toronto-on,2365000.0,6.0,5.0,5000.0,House
Ontario,toronto-on,1099000.0,3.0,2.0,1100.0,House
Ontario,toronto-on,988000.0,5.0,2.0,1100.0,House
Ontario,toronto-on,580000.0,2.0,1.0,699.0,Apt/Condo
Ontario,toronto-on,1399999.0,4.0,2.0,1500.0,House
Ontario,toronto-on,969000.0,4.0,2.0,1500.0,House
Ontario,toronto-on,599000.0,1.0,1.0,699.0,Apt/Condo
Ontario,toronto-on,3688000.0,5.0,5.0,3000.0,House
Ontario,toronto-on,599999.0,2.0,2.0,799.0,Apt/Condo
Ontario,toronto-on,888000.0,5.0,2.0,1100.0,House
Ontario,toronto-on,1499900.0,4.0,2.0,1500.0,House
Ontario,toronto-on,1499000.0,4.0,2.0,1500.0,House
Ontario,toronto-on,699888.0,4.0,2.0,1100.0,Townhouse
Ontario,toronto-on,945000.0,2.0,2.0,999.0,Apt/Condo
Ontario,toronto-on,749000.0,2.0,2.0,1399.0,Apt/Condo
Ontario,toronto-on,509900.0,2.0,1.0,699.0,Apt/Condo
Ontario,toronto-on,850000.0,5.0,2.0,1100.0,House
Ontario,toronto-on,1699900.0,5.0,2.0,1500.0,House
Ontario,toronto-on,480000.0,2.0,1.0,699.0,Apt/Condo
Ontario,toronto-on,409900.0,2.0,2.0,599.0,Apt/Condo
Ontario,toronto-on,1428000.0,4.0,4.0,2000.0,
Ontario,toronto-on,1099999.0,3.0,2.0,700.0,
Ontario,toronto-on,988000.0,2.0,4.0,1200.0,
Ontario,toronto-on,2980000.0,6.0,6.0,3500.0,House
Ontario,toronto-on,999900.0,6.0,3.0,2500.0,House
Ontario,toronto-on,798800.0,3.0,3.0,1399.0,Townhouse
Ontario,toronto-on,585000.0,2.0,1.0,699.0,Townhouse
Ontario,toronto-on,633000.0,1.0,1.0,599.0,Apt/Condo
Ontario,toronto-on,1699000.0,5.0,4.0,2500.0,House
Ontario,toronto-on,399900.0,0.0,1.0,499.0,Apt/Condo
Ontario,toronto-on,899000.0,2.0,2.0,700.0,Apt/Condo
Ontario,toronto-on,1550000.0,4.0,3.0,1200.0,Apt/Condo
Ontario,toronto-on,1300000.0,3.0,2.0,1500.0,House
Ontario,toronto-on,1099999.0,3.0,2.0,900.0,Apt/Condo
Ontario,toronto-on,1820000.0,2.0,3.0,1200.0,Apt/Condo
Ontario,toronto-on,2199000.0,8.0,6.0,2000.0,House
Ontario,toronto-on,889000.0,4.0,2.0,1500.0,House
Ontario,toronto-on,999999.0,4.0,2.0,1100.0,House
Ontario,toronto-on,299999.0,0.0,1.0,499.0,Apt/Condo
Ontario,toronto-on,2125000.0,6.0,4.0,2500.0,House
Ontario,toronto-on,599900.0,2.0,2.0,1199.0,Apt/Condo
Ontario,toronto-on,608000.0,3.0,2.0,800.0,Apt/Condo
Ontario,toronto-on,1089000.0,4.0,2.0,1500.0,House
Ontario,toronto-on,929000.0,4.0,2.0,1100.0,House
Ontario,toronto-on,1428000.0,4.0,4.0,2000.0,
Ontario,toronto-on,1099999.0,3.0,2.0,700.0,
Ontario,toronto-on,988000.0,2.0,4.0,1200.0,
Ontario,toronto-on,975000.0,3.0,2.0,700.0,House
Ontario,toronto-on,2949900.0,6.0,6.0,5000.0,House
Ontario,toronto-on,749980.0,3.0,3.0,1599.0,Townhouse
Ontario,toronto-on,4295000.0,4.0,4.0,3500.0,House
Ontario,toronto-on,608000.0,3.0,2.0,800.0,Apt/Condo
Ontario,toronto-on,1089000.0,4.0,2.0,1500.0,House
Ontario,toronto-on,929000.0,4.0,2.0,1100.0,House
Ontario,toronto-on,1179000.0,5.0,2.0,1500.0,Townhouse
Ontario,toronto-on,989990.0,5.0,2.0,700.0,House
Ontario,toronto-on,2299000.0,4.0,3.0,2000.0,House
Ontario,toronto-on,1099000.0,4.0,2.0,2000.0,Townhouse
Ontario,toronto-on,999000.0,3.0,2.0,1100.0,Townhouse
Ontario,toronto-on,679000.0,2.0,2.0,700.0,Apt/Condo
Ontario,toronto-on,410000.0,1.0,1.0,699.0,Apt/Condo
Ontario,toronto-on,1259900.0,5.0,4.0,1500.0,House
Ontario,toronto-on,699000.0,2.0,2.0,899.0,Apt/Condo
Ontario,toronto-on,1248000.0,5.0,4.0,2500.0,House
Ontario,toronto-on,749900.0,4.0,2.0,1399.0,Townhouse
Ontario,toronto-on,499000.0,2.0,1.0,599.0,Apt/Condo
Ontario,toronto-on,1295000.0,3.0,2.0,1199.0,Apt/Condo
Ontario,toronto-on,2388000.0,4.0,3.0,1799.0,Apt/Condo
Ontario,toronto-on,1428000.0,4.0,4.0,2000.0,
Ontario,toronto-on,1099999.0,3.0,2.0,700.0,
Ontario,toronto-on,988000.0,2.0,4.0,1200.0,
Ontario,toronto-on,457500.0,1.0,1.0,699.0,Apt/Condo
Ontario,toronto-on,2949900.0,6.0,6.0,5000.0,House
Ontario,toronto-on,929000.0,2.0,1.0,,House
Ontario,toronto-on,649000.0,2.0,2.0,1199.0,Apt/Condo
Ontario,toronto-on,2698000.0,3.0,3.0,1999.0,Apt/Condo
Ontario,toronto-on,2699000.0,5.0,5.0,3500.0,House
Ontario,toronto-on,728000.0,2.0,2.0,900.0,Apt/Condo
Ontario,toronto-on,999000.0,2.0,2.0,700.0,Apt/Condo
Ontario,toronto-on,1249000.0,3.0,2.0,1100.0,House
Ontario,toronto-on,499000.0,4.0,2.0,1100.0,House
Ontario,toronto-on,1479000.0,4.0,3.0,2000.0,House
Ontario,toronto-on,1088000.0,6.0,4.0,2000.0,House
Ontario,toronto-on,699900.0,2.0,2.0,700.0,Apt/Condo
Ontario,toronto-on,829000.0,2.0,2.0,900.0,Apt/Condo
Ontario,toronto-on,639900.0,2.0,1.0,699.0,Apt/Condo
Ontario,toronto-on,699000.0,2.0,2.0,700.0,Apt/Condo
Ontario,toronto-on,1749990.0,5.0,5.0,2000.0,House
Ontario,toronto-on,610000.0,3.0,2.0,899.0,Apt/Condo
Ontario,toronto-on,579900.0,2.0,2.0,799.0,Apt/Condo
Ontario,toronto-on,999000.0,3.0,1.0,1100.0,House
Ontario,toronto-on,638000.0,2.0,1.0,600.0,Apt/Condo
Ontario,toronto-on,1428000.0,4.0,4.0,2000.0,
Ontario,toronto-on,1099999.0,3.0,2.0,700.0,
Ontario,toronto-on,988000.0,2.0,4.0,1200.0,
Ontario,toronto-on,459900.0,1.0,1.0,499.0,Apt/Condo
Ontario,toronto-on,2365000.0,6.0,5.0,5000.0,House
Ontario,toronto-on,548000.0,2.0,2.0,1199.0,Apt/Condo
Ontario,toronto-on,1269000.0,3.0,2.0,1500.0,House
Ontario,toronto-on,459000.0,1.0,1.0,499.0,Apt/Condo
Ontario,toronto-on,1369000.0,5.0,2.0,1500.0,House
Ontario,toronto-on,3399000.0,5.0,4.0,2500.0,House
Ontario,toronto-on,5880000.0,4.0,5.0,3500.0,House
Ontario,toronto-on,1650000.0,3.0,3.0,1999.0,Townhouse
Ontario,toronto-on,699900.0,4.0,3.0,1100.0,House
Ontario,toronto-on,999900.0,4.0,2.0,1500.0,House
Ontario,toronto-on,399000.0,2.0,2.0,999.0,Apt/Condo
Ontario,toronto-on,578888.0,2.0,2.0,1399.0,Apt/Condo
Ontario,toronto-on,568888.0,2.0,2.0,699.0,Apt/Condo
Ontario,toronto-on,1200000.0,4.0,2.0,1100.0,House
Ontario,toronto-on,2400000.0,5.0,2.0,2000.0,House
Ontario,toronto-on,998000.0,6.0,3.0,1500.0,House
Ontario,toronto-on,1158000.0,3.0,2.0,1199.0,Apt/Condo
Ontario,toronto-on,519900.0,2.0,1.0,799.0,Apt/Condo
Ontario,toronto-on,799000.0,3.0,2.0,1100.0,House
Ontario,toronto-on,515888.0,1.0,1.0,599.0,Apt/Condo
Ontario,toronto-on,1428000.0,4.0,4.0,2000.0,
Ontario,toronto-on,1099999.0,3.0,2.0,700.0,
Ontario,toronto-on,988000.0,2.0,4.0,1200.0,
Ontario,toronto-on,969900.0,4.0,2.0,1100.0,House
Ontario,toronto-on,2365000.0,6.0,5.0,5000.0,House
Ontario,toronto-on,4988000.0,2.0,3.0,2500.0,Apt/Condo
Ontario,toronto-on,1098600.0,2.0,2.0,1399.0,Townhouse
Ontario,toronto-on,1049000.0,4.0,1.0,1500.0,House
Ontario,toronto-on,1599900.0,6.0,4.0,2500.0,House
Ontario,toronto-on,1499000.0,4.0,2.0,1500.0,House
Ontario,toronto-on,669000.0,2.0,1.0,799.0,Apt/Condo
